country,region,income_level,platform_name,domain,website_url,app_link,platform_format,platform_type,platform_classification,tier,tier_label,target_audience,accessible_without_account,offline_functionality,mobile_compatible,working_links,regularly_updated,interactive_content,fln_resources,accessible_for_disabilities,available_languages,national_languages_covered,available,has_url,generic_hosting,notes
Malaysia,East Asia & Pacific,Upper middle income,eLATiH,elatih.hrdcorp.gov.my,https://elatih.hrdcorp.gov.my/,,LMS,,national,1,Tier 1,students and teachers,no,no,yes,yes,unknown,no,no,no,English,no,True,True,False,"The platform provides all kinds of online courses, including teacher training courses and courses that can be useful for secondary students"
Maldives,South Asia,Upper middle income,Filaa,filaa.moe.gov.mv,https://filaa.moe.gov.mv/,,resource hub,,national,1,Tier 1,students,yes,unknown,yes,yes,yes,yes,yes,no,English,no,True,True,False,- FLN content can be found here 
Maldives,South Asia,Upper middle income,TeleKilaas by MOE Maldives,youtube.com,https://www.youtube.com/channel/UC3t8ttfqbpaY5hK-5Yp8TtA/featured,,resource hub,YouTube,other,3,Other,students,yes,no,yes,yes,yes,no,yes,no,"Dhivehi, English",yes,True,True,False,"-Example of FLN content can be found here 
- This is a Youtube channel run and managed by the Ministry of Education"
Maldives,South Asia,Upper middle income,Google Classroom,,unknown,,LMS,Google,collaboration,2,Collaboration,students and teachers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Unknown,unknown,False,False,False,"- Related Article 1
- Related Article 2
- Related Article 3"
Mali,Sub-Saharan Africa,Low income,So Kalan TV,youtube.com,https://www.youtube.com/channel/UCLhy5OFkZOaOGJsDngCy3Pw/featured,,resource hub,YouTube,other,3,Other,students,yes,no,yes,yes,yes,yes,no,no,French,yes,True,True,False,Youtube Channel of the Ministry of Education
Mali,Sub-Saharan Africa,Low income,So Kalan,sokalan.net,https://sokalan.net/,,unknown,,unknown,1,Tier 1,students,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,Unknown,unknown,False,True,False,The website is not avalaible
Mali,Sub-Saharan Africa,Low income,Imaginecole,mali.imaginecole.africa,https://mali.imaginecole.africa/,,resource hub,,unknown,1,Tier 1,students and teachers,yes,no,yes,no,no,no,unknown,no,French,yes,True,True,False,
Marshall Islands,East Asia & Pacific,Upper middle income,,,,,,,unknown,1,Tier 1,,,,,,,,,,,,True,False,False,
Mauritania,Sub-Saharan Africa,Lower middle income,Plateforme TAALIMI,elearning.gov.mr,https://www.elearning.gov.mr/,,resource hub,,national,1,Tier 1,students,yes,no,yes,no,yes,no,unknown,no,"Arabic
French",yes,True,True,False,
Mauritania,Sub-Saharan Africa,Lower middle income,TAALIMI (mobile app),,,https://play.google.com/store/apps/details?id=mr.gov.taalim,resource hub,,unknown,1,Tier 1,students,yes,unknown,yes,no,unknown,unknown,unknown,unknown,"Arabic
French",yes,True,False,False,Most links appear to be broken.
